District,EP constituents losing coverage,num of EP Enrollees,Essential Hospital Loss,Medicaid Cuts Hospital Loss,Total Hospital Loss,uninsured Medicaid,num of Medicaid Enrollees,Proportion of Constituents on Medicaid,Total Cost to the District Annually,Average Monthly Cost Increase For a Couple,percentage dollar increase,Proportion of Consituents on EP,PDF Link,Congressmember,Hospital Employment Losses,Total Employment Losses,Lost Economic Activity ($),loss in sub cov,loss in subsidized coverage (thousands),%change subsidized,ePTC uninsured,become uninsured (ePTCs),%change ePTCs uninsured
1,"25,000","77,200","$29,066,244 ","$45,539,704 ","$74,605,948 ","38,043","221,807",17%,"$506,034,268 ",$208 ,29%,12%,https://hcfany.org/wp-content/uploads/2025/11/1-3.pdf,Nick LaLota (R),976,"1,811","$411,868,000 "," 1,600 ",1606.22,-28%,510,505.11,2%
2,"25,000","78,000","$35,322,184 ","$50,814,863 ","$86,137,047 ","38,365","227,065",17%,"$512,224,183 ",$229 ,36%,12%,https://hcfany.org/wp-content/uploads/2025/11/2-3.pdf,Andrew R. Garbarino (R),605,"1,122","$255,206,000 "," 3,200 ",3177.36,-54%," 1,710 ",1713.03,6%
3,"17,000","63,700","$49,612,361 ","$59,070,221 ","$108,682,582 ","29,619","159,546",19%,"$410,041,892 ",$188 ,23%,12%,https://hcfany.org/wp-content/uploads/2025/11/3-3.pdf,Thomas R. Suozzi (D),"1,927","3,576","$812,998,000 ", 900 ,929.96,-19%, 550 ,547.56,2%
4,"20,000","67,000","$39,079,356 ","$33,676,367 ","$72,755,723 ","35,845","199,703",18%,"$441,476,699 ",$220 ,33%,12%,https://hcfany.org/wp-content/uploads/2025/11/4-3.pdf,Laura Gillen (D),933,"1,731","$393,628,000 "," 1,800 ",1766.82,-30%, 620 ,620.61,2%
5,"27,000","113,700","$22,378,442 ","$36,335,787 ","$58,714,229 ","65,366","354,371",18%,"$754,137,216 ",$248 ,56%,12%,https://hcfany.org/wp-content/uploads/2025/11/5-3.pdf,Gregory W. Meeks (D),563,"1,045","$237,515,000 "," 2,500 ",2451.51,-37%," 1,290 ",1289.82,4%
6,"30,000","163,600","$161,956,005 ","$133,985,428 ","$295,941,433 ","69,902","379,240",18%,"$1,043,351,718 ",$221 ,40%,12%,https://hcfany.org/wp-content/uploads/2025/11/6-3.pdf,Grace Meng (D),"1,876","3,481","$791,359,000 "," 2,800 ",2790.17,-35%," 1,460 ",1461.70,3%
7,"25,000","99,600","$26,071,884 ","$40,856,447 ","$66,928,331 ","68,862","366,997",19%,"$678,696,394 ",$200 ,33%,12%,https://hcfany.org/wp-content/uploads/2025/11/7-3.pdf,Nydia M. Velázquez (D),862,"1,599","$363,593,000 "," 3,100 ",3119.65,-45%," 1,640 ",1641.90,4%
8,"23,000","97,700","$22,474,403 ","$17,921,236 ","$40,395,639 ","67,685","358,329",19%,"$665,216,863 ",$239 ,50%,12%,https://hcfany.org/wp-content/uploads/2025/11/8-3.pdf,Hakeem S. Jeffries (D),790,"1,466","$333,226,000 "," 2,300 ",2263.26,-57%," 1,730 ",1728.94,8%
9,"28,000","123,800","$120,606,309 ","$132,370,414 ","$252,976,723 ","73,341","404,544",18%,"$827,102,215 ",$220 ,41%,12%,https://hcfany.org/wp-content/uploads/2025/11/9-3.pdf,Yvette D. Clarke (D),"1,178","2,187","$497,231,000 "," 2,600 ",2611.09,-44%," 1,780 ",1783.02,5%
10,"16,000","79,200","$82,240,122 ","$101,525,169 ","$183,765,291 ","54,448","302,724",18%,"$543,168,344 ",$170 ,25%,12%,https://hcfany.org/wp-content/uploads/2025/11/10-3.pdf,Daniel S. Goldman (D),"1,457","2,705","$614,953,000 "," 1,500 ",1520.34,-33%, 740 ,744.50,3%
11,"17,000","73,700","$19,435,181 ","$40,646,072 ","$60,081,253 ","42,942","248,273",17%,"$494,764,805 ",$224 ,41%,12%,https://hcfany.org/wp-content/uploads/2025/11/11-3.pdf,Nicole Malliotakis (R),654,"1,213","$275,762,000 "," 1,800 ",1814.97,-36%, 620 ,618.53,3%
12,"5,000","24,200","$311,229,420 ","$385,012,751 ","$696,242,171 ","25,551","109,331",23%,"$171,347,540 ",$159 ,19%,12%,https://hcfany.org/wp-content/uploads/2025/11/12-3.pdf,Jerrold Nadler (D),"2,803","5,201","$1,182,612,000 "," 1,300 ",1340.43,-39%, 160 ,162.27,1%
13,"23,000","91,500","$16,583,715 ","$37,836,939 ","$54,420,654 ","85,515","421,063",20%,"$650,319,468 ",$236 ,47%,12%,https://hcfany.org/wp-content/uploads/2025/11/13-3.pdf,Adriano Espaillat (D),"2,520","4,677","$1,063,292,000 "," 2,600 ",2557.90,-46%," 2,150 ",2151.40,7%
