Insurer,Type of Plan,2019 Requested,2019 Approved,2020 Requested,2020 Approved,2021 Requested,2021 Approved,2022 Requested,2022 Approved,2023 Requested,2023 Approved,2024 Requested,2024 Approved,2025 Requested,2025 Approved,2026 Requested,2026 Approved,2027 Requested
Anthem,HMO,,$760 ,$778 ,$755 ,$881 ,$765 ,$843 ,$846 ,$761 ,$761 ,$918 ,$812 ,$929 ,$891 ,$983.00 ,$922 ,"$1,026 "
CDPHP,HMO,,$546 ,$584 ,$557 ,$580 ,$573 ,$634 ,$612 ,$709 ,$709 ,$875 ,$782 ,$927 ,$895 ,"$1,017.00 ",$993 ,"$1,006 "
Emblem,HMO,,$527 ,$548 ,$558 ,$566 ,$553 ,$587 ,$575 ,$622 ,$622 ,$717 ,$682 ,$814 ,$800 ,$998.00 ,$937 ,"$1,098 "
Excellus Health,EPO,,$671 ,$762 ,$744 ,$814 ,$773 ,$814 ,$805 ,$897 ,$897 ,"$1,370 ","$1,103 ","$1,666 ","$1,557 ","$1,571.00 ","$1,447 ","$1,834 "
Fidelis,HMO,,$562 ,$596 ,$570 ,$583 ,$572 ,$769 ,$612 ,$657 ,$657 ,$794 ,$720 ,$841 ,$804 ,$919.00 ,$879 ,"$1,010 "
Healthfirst,HMO,,$510 ,$561 ,$500 ,$527 ,$509 ,$601 ,$588 ,$629 ,$629 ,$771 ,$740 ,$969 ,$885 ,"$1,096.00 ","$1,025 ","$1,268 "
Highmark,EPO,,$508 ,$525 ,$477 ,$479 ,$485 ,$484 ,$469 ,$629 ,$504 ,$702 ,$623 ,$795 ,$746 ,"$1,033.00 ",$862 ,$984 
IHBC,EPO,,$561 ,$610 ,$585 ,$641 ,$617 ,$593 ,$582 ,$643 ,$643 ,$812 ,$731 ,$938 ,$924 ,"$1,017.00 ","$1,013 ","$1,185 "
MetroPlus Health,HMO,,$518 ,$552 ,$531 ,$567 ,$554 ,$648 ,$611 ,$662 ,$662 ,$750 ,$699 ,$833 ,$816 ,$881.00 ,$860 ,$952 
MVP Health,HMO POS,,$512 ,$547 ,$524 ,$623 ,$534 ,$554 ,$544 ,$594 ,$594 ,$702 ,$666 ,$731 ,$700 ,$756.00 ,$653 ,$838 
Oscar Insurance,EPO,,$494 ,$570 ,$564 ,$672 ,$600 ,$681 ,$685 ,$737 ,$737 ,$873 ,$807 ,"$1,012 ",$969 ,"$1,134.00 ","$1,045 ","$1,294 "
United Healthcare,HMO,,$803 ,"$1,021 ","$1,195 ","$1,300 ",$955 ,"$1,088 ","$1,004 ","$1,088 ","$1,088 ","$1,316 ","$1,197 ","$1,302 ","$1,189 ","$1,625.00 ","$1,169 ","$1,778 "
Weighted Average,na,,$554 ,$600 ,$579 ,$647 ,$587 ,$653 ,$615 ,$664 ,$657 ,$794 ,$719 ,$838 ,$799 ,$907.00 ,$833 ,"$1,005 "
